,0,1,2
564,rca.loc.cloc_max,rca.loc.cloc_min,0.587628894903816
565,rca.loc.lloc,rca.loc.lloc_max,0.5230081146909163
566,rca.loc.lloc,rca.mi.mi_original,-0.7598006551157657
567,rca.loc.lloc,rca.mi.mi_sei,-0.706798620293415
568,rca.loc.lloc,rca.nargs.total,0.7799002449474427
569,rca.loc.lloc,rca.nargs.total_closures,0.6064219842158088
570,rca.loc.lloc,rca.nargs.total_functions,0.7765114697641748
572,rca.loc.lloc,rca.nom.closures,0.6150178512528799
573,rca.loc.lloc,rca.nom.functions,0.8361601751290243
574,rca.loc.lloc,rca.nom.total,0.8392890751028382
575,rca.loc.lloc_average,rca.loc.lloc_max,0.5137162285777789
576,rca.loc.lloc_max,rca.mi.mi_original,-0.559940940437569
577,rca.loc.lloc_max,rca.mi.mi_sei,-0.5766619701858163
578,rca.loc.lloc_max,rca.mi.mi_visual_studio,-0.548634515304017
579,rca.loc.lloc_max,rca.nargs.functions_max,0.5260857526617057
580,rca.loc.lloc_max,rca.nexits.max,0.5349730559291759
581,rca.loc.ploc,rca.loc.ploc_average,0.9225815795295248
582,rca.loc.ploc,rca.loc.ploc_max,0.9273296679634743
583,rca.loc.ploc,rca.loc.ploc_min,0.9224084962733927
584,rca.loc.ploc,rca.loc.sloc,0.9984357936312848
585,rca.loc.ploc,rca.loc.sloc_average,0.9222543873194982
586,rca.loc.ploc,rca.loc.sloc_max,0.9269467733339628
587,rca.loc.ploc,rca.loc.sloc_min,0.9220470372426514
588,rca.loc.ploc_average,rca.loc.ploc_max,0.9982386176472812
589,rca.loc.ploc_average,rca.loc.ploc_min,0.9998586355860398
590,rca.loc.ploc_average,rca.loc.sloc,0.9166487024702087
591,rca.loc.ploc_average,rca.loc.sloc_average,0.9999180879656936
592,rca.loc.ploc_average,rca.loc.sloc_max,0.9974937112261104
593,rca.loc.ploc_average,rca.loc.sloc_min,0.9997361164586779
594,rca.loc.ploc_max,rca.loc.ploc_min,0.9983546257500602
595,rca.loc.ploc_max,rca.loc.sloc,0.9223139735679284
596,rca.loc.ploc_max,rca.loc.sloc_average,0.9981190010651402
597,rca.loc.ploc_max,rca.loc.sloc_max,0.999721198774699
598,rca.loc.ploc_max,rca.loc.sloc_min,0.998233290940089
599,rca.loc.ploc_min,rca.loc.sloc,0.9163963007478081
600,rca.loc.ploc_min,rca.loc.sloc_average,0.9997662776581079
601,rca.loc.ploc_min,rca.loc.sloc_max,0.9976385018203862
602,rca.loc.ploc_min,rca.loc.sloc_min,0.9999044258284383
603,rca.loc.sloc,rca.loc.sloc_average,0.9165028455000814
